user_key,generator,judge,self,faithfulness,coverage,clarity,calibration,overall
76561198035130011,opus,gpt4o,False,,,,,
76561198035130011,opus,qwen,False,4.0,5.0,5.0,4.0,4.0
76561198035130011,opus,llama,False,4.0,3.0,4.0,4.0,4.0
76561198147458696,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198147458696,opus,qwen,False,3.0,2.0,4.0,3.0,3.0
76561198147458696,opus,llama,False,4.0,3.0,5.0,5.0,4.0
76561198450469370,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198450469370,opus,qwen,False,2.0,3.0,4.0,2.0,2.0
76561198450469370,opus,llama,False,4.0,3.0,5.0,4.0,4.0
76561199398860603,opus,gpt4o,False,4.0,4.0,5.0,4.0,4.0
76561199398860603,opus,qwen,False,3.0,2.0,4.0,2.0,2.0
76561199398860603,opus,llama,False,4.0,3.0,5.0,5.0,4.0
76561198032575845,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198032575845,opus,qwen,False,3.0,2.0,4.0,2.0,2.0
76561198032575845,opus,llama,False,4.0,3.0,5.0,4.0,4.0
76561199467031072,opus,gpt4o,False,4.0,4.0,5.0,4.0,4.0
76561199467031072,opus,qwen,False,2.0,3.0,4.0,3.0,3.0
76561199467031072,opus,llama,False,4.0,2.0,3.0,1.0,2.0
76561198327954635,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198327954635,opus,qwen,False,3.0,2.0,4.0,2.0,2.0
76561198327954635,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198410346859,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198410346859,opus,qwen,False,3.0,4.0,5.0,3.0,3.0
76561198410346859,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198005622066,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198005622066,opus,qwen,False,3.0,2.0,4.0,2.0,2.0
76561198005622066,opus,llama,False,4.0,3.0,5.0,4.0,4.0
76561198045048761,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198045048761,opus,qwen,False,2.0,3.0,4.0,2.0,2.0
76561198045048761,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198075740355,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198075740355,opus,qwen,False,3.0,2.0,4.0,2.0,2.0
76561198075740355,opus,llama,False,4.0,3.0,5.0,5.0,4.0
76561198116881004,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198116881004,opus,qwen,False,3.0,2.0,4.0,3.0,3.0
76561198116881004,opus,llama,False,4.0,3.0,5.0,4.0,4.0
76561197973149646,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561197973149646,opus,qwen,False,5.0,5.0,5.0,5.0,5.0
76561197973149646,opus,llama,False,5.0,4.0,5.0,5.0,5.0
76561197978598904,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561197978598904,opus,qwen,False,5.0,5.0,5.0,5.0,5.0
76561197978598904,opus,llama,False,5.0,5.0,4.0,5.0,5.0
76561197994062010,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561197994062010,opus,qwen,False,4.0,3.0,5.0,4.0,3.0
76561197994062010,opus,llama,False,4.0,5.0,5.0,3.0,4.0
76561198116335665,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198116335665,opus,qwen,False,2.0,3.0,4.0,2.0,2.0
76561198116335665,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198010975202,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198010975202,opus,qwen,False,3.0,2.0,4.0,3.0,3.0
76561198010975202,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561199146774798,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561199146774798,opus,qwen,False,3.0,2.0,4.0,3.0,3.0
76561199146774798,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198025799587,opus,gpt4o,False,4.0,4.0,4.0,4.0,4.0
76561198025799587,opus,qwen,False,2.0,3.0,4.0,2.0,2.0
76561198025799587,opus,llama,False,4.0,3.0,5.0,5.0,4.0
76561198834391320,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198834391320,opus,qwen,False,2.0,3.0,4.0,3.0,3.0
76561198834391320,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198806661973,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198806661973,opus,qwen,False,3.0,2.0,4.0,2.0,2.0
76561198806661973,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198044865246,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198044865246,opus,qwen,False,3.0,2.0,4.0,3.0,3.0
76561198044865246,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198413133706,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561198413133706,opus,qwen,False,3.0,2.0,4.0,2.0,2.0
76561198413133706,opus,llama,False,4.0,3.0,5.0,4.0,4.0
76561199115169680,opus,gpt4o,False,5.0,5.0,5.0,5.0,5.0
76561199115169680,opus,qwen,False,4.0,3.0,5.0,3.0,3.0
76561199115169680,opus,llama,False,4.0,3.0,5.0,2.0,3.0
76561198035130011,gpt4o,opus,False,1.0,1.0,1.0,1.0,1.0
76561198035130011,gpt4o,qwen,False,3.0,2.0,5.0,2.0,2.0
76561198035130011,gpt4o,llama,False,4.0,3.0,4.0,4.0,4.0
76561198147458696,gpt4o,opus,False,5.0,5.0,4.0,5.0,5.0
76561198147458696,gpt4o,qwen,False,2.0,3.0,4.0,2.0,2.0
76561198147458696,gpt4o,llama,False,2.0,3.0,4.0,5.0,4.0
76561198450469370,gpt4o,opus,False,2.0,2.0,2.0,2.0,2.0
76561198450469370,gpt4o,qwen,False,3.0,4.0,4.0,3.0,3.0
76561198450469370,gpt4o,llama,False,4.0,3.0,5.0,2.0,3.0
76561199398860603,gpt4o,opus,False,5.0,5.0,4.0,5.0,5.0
76561199398860603,gpt4o,qwen,False,4.0,3.0,5.0,2.0,3.0
76561199398860603,gpt4o,llama,False,2.0,3.0,4.0,5.0,3.0
76561198032575845,gpt4o,opus,False,4.0,4.0,4.0,4.0,4.0
76561198032575845,gpt4o,qwen,False,3.0,2.0,4.0,2.0,2.0
76561198032575845,gpt4o,llama,False,2.0,4.0,3.0,5.0,3.0
76561199467031072,gpt4o,opus,False,5.0,5.0,4.0,5.0,5.0
76561199467031072,gpt4o,qwen,False,3.0,2.0,4.0,2.0,2.0
76561199467031072,gpt4o,llama,False,4.0,2.0,3.0,1.0,2.0
76561198327954635,gpt4o,opus,False,4.0,4.0,4.0,4.0,4.0
76561198327954635,gpt4o,qwen,False,2.0,3.0,4.0,2.0,2.0
76561198327954635,gpt4o,llama,False,4.0,3.0,5.0,2.0,3.0
76561198410346859,gpt4o,opus,False,5.0,5.0,5.0,5.0,5.0
76561198410346859,gpt4o,qwen,False,2.0,3.0,4.0,2.0,2.0
76561198410346859,gpt4o,llama,False,4.0,3.0,5.0,2.0,3.0
76561198005622066,gpt4o,opus,False,5.0,5.0,5.0,5.0,5.0
76561198005622066,gpt4o,qwen,False,2.0,3.0,4.0,2.0,2.0
